"freq","issuerLabel"
"5","""sni.dreamhost.com"""
"4","""https.mimicn.net"""
"4","""Deloitte SHA2 Level 3 CA 1"""
"4","""DOMENY SSL OV Certification Authority"""
"4","""va.dnstests.net"""
"4","""Cybertrust Japan Secure Server CA"""
"4","""K Software Certificate Authority (OV) 2"""
"4","""ESG Organisatie CA - G2"""
"4","""DigiCert Global CA G2"""
"4","""SECOM Passport for Web EV 2.0 CA"""
"4","""KDDI Web Communications Certification Authority"""
"4","""CA"""
"4","""SEPAmail TLS CA"""
"4","""cmu-host-vucc02.hydro-int.com"""
"4","""PIT_CA"""
"4","""SSL.com High Assurance CA"""
"4","""nas-27-58-5C.local"""
"4","""\u04b0\u041b\u0422\u0422\u042b\u049a \u041a\u0423\u04d8\u041b\u0410\u041d\u0414\u042b\u0420\u0423\u0428\u042b \u041e\u0420\u0422\u0410\u041b\u042b\u049a (RSA)"""
"4","""ECCE 001"""
"4","""TBS X509 CA pro hosting 2"""
"4","""Bayerische SSL-CA-2017-01"""
"4","""DPDHL TLS SHA2 CA I3"""
"4","""Deutscher Wetterdienst CA - G01"""
"4","""My Company Ltd"""
"4","""TU Dresden CA - G02"""
"4","""Microsoft IT TLS CA 2"""
"4","""e-Mudhra CA SPL 2015"""
"4","""Actalis Extended Validation Server CA G1"""
"4","""DigiCert High Assurance CA-3"""
"4","""dnsme"""
"4","""KLASS3-SK 2010"""
"3","""MPG CA - G02"""
"3","""MustBin Root CA"""
"3","""Tata Interactive"""
"3","""support"""
"3","""JPRS Organization Validation Authority - G1"""
"3","""online.bankrbk.com"""
"3","""HAW-CA"""
"3","""StartCom Class 4 EV Server CA"""
"3","""axa-pl-SVMCOMPCA"""
"3","""sslvpn"""
"3","""Network Solutions DV Server CA"""
"3","""WellsSecure Certification Authority 01 G2"""
"3","""TUD CA G01"""
"3","""AlwaysOnSSL CA - G1"""
"3","""nocertificate.found"""
"3","""Baseline"""
"3","""Ernst Moritz Arndt Universitaet Greifswald - G02"""
"3","""tspcalc.com"""
"3","""acquia.com"""
"3","""Oracle SSL CA - G2"""
"3","""kogas-CA"""
"3","""TeleSec ServerPass Extended Validation Class 3 CA"""
"3","""COMODO SHA-256 Extended Validation Secure Server CA"""
"3","""FR Enterprise Issuing CA - Infrastructure1"""
"3","""CA131100002"""
"3","""American Express Safekey Issuing CA"""
"3","""CA-Private-RT"""
"3","""KIT-CA"""
"3","""Compatibility Intermediate CA"""
"3","""SITHS Type 3 CA v1"""
"3","""WoSign Class 3 OV Pro Server CA G2"""
"3","""Microsoft Secure Server CA 2011"""
"3","""WIN-3J5CL091SCP"""
"3","""ProxyCA"""
"3","""Cloud Production Servers and Services"""
"3","""DIPF CA - G02"""
"3","""Global-UNITUE-CA 01"""
"3","""AC Certisign Multipla SSL"""
"3","""NCC Group Secure Server CA G2"""
"3","""sentrora.nika.rs.ba"""
"3","""frb"""
"3","""AC Firmaprofesional - INFRAESTRUCTURA"""
"3","""SG-IGEPN.igepn.edu.ec.zhei3h"""
"3","""EC-SectorPublic"""
"3","""MOBISTAR SERVERS CA"""
"3","""RWTH Aachen CA"""
"3","""WoSign Class 1 DV Server CA G2"""
"3","""Symantec Class 3 ECC 256 bit SSL CA - G2"""
"3","""WIN-VI1BU98TEUU"""
"3","""ip-172-31-26-253.ec2.internal"""
"3","""VR IDENT SSL CA 2016"""
"3","""Vodafone (Corporate Services 2009)"""
"3","""mail.supersav.com.ec"""
"3","""Fireware web CA"""
"3","""StartCom Class 2 Primary Intermediate Server CA"""
"3","""www.buzzm.co.uk"""
"3","""Microsoft IT ITO SSL CA 1"""
"3","""E-Tugra Organization Validated CA"""
"3","""*.rair.co.za"""
"3","""AC CERTISIGN-JUS SSL G6"""
"3","""RootCA1"""
"3","""PostSignum Public CA 2"""
"2","""ns354174.ip-91-121-101.eu"""
"2","""Veterans Affairs Device CA B2"""
"2","""Trustis Limited"""
"2","""Hochschule Bonn-Rhein-Sieg CA - G01"""
"2","""ihe.wellcentive.com"""
"2","""T-Mobile USA Enterprise Issuing CA 01"""
"2","""ADinfra Issuing CA Class1"""
"2","""1.0.Root.RB-88389162"""
"2","""falconcorp.com.br"""
"2","""*.ta1eb.com"""
"2","""ceauto-CEASERVER-CA"""
"2","""crispmorningcoffee.com"""
"2","""Petrobras AC Emissora Corporativa"""
"2","""TU Chemnitz Certification Authority - TUC/URZ CA G3"""
"2","""Reconline Development Root CA"""
"2","""CFCA EV OCA"""
"2","""e-Mudhra CA SPL 2015-2"""
"2","""BHI-ENT-SEP.bhi.local"""
"2","""Fraunhofer Service CA - G01"""
"2","""DanubeDC subCA"""
"2","""dlockbox-issuingCA"""
"2","""Universitaet Stuttgart CA - G01"""
"2","""AC VALID BRASIL"""
"2","""crgca"""
"2","""bbctest-TROOTCA-CA"""
"2","""CA der LUH (UH-CA) - G03"""
"2","""srvhbnexc02.kupfer.intern"""
"2","""Shoper\u00ae SSL"""
"2","""plasticsurgeryservice.com"""
"2","""BadSSL Untrusted Root Certificate Authority"""
"2","""ec2-184-72-74-230.compute-1.amazonaws.com"""
"2","""LMU-CA"""
"2","""Universitaet Giessen S CA - G01"""
"2","""easternglove.com"""
"2","""gpborg-GPBORGSRV1-CA"""
"2","""GWDG CA"""
"2","""ProMedica Health System Encryption CA v2"""
"2","""fito-FITO800-CA"""
"2","""CA Universitaet des Saarlandes"""
"2","""KEYNECTIS SSL RGS"""
"2","""ePKI EV SSL Certification Authority - G1"""
"2","""FSAG-EMEA-SSL-CA_01"""
"2","""wgfr.westeurope.cloudapp.azure.com"""
"2","""ddctax-SERVER-CA"""
"2","""AC Interne Ca-Serveur"""
"2","""p11-preview.runhosting.com"""
"2","""erdely.dedulce.ro"""
"2","""www.aimsystems.ca"""
"2","""Uni Marburg CA - G02"""
"2","""dev.rixhengelsport.nl"""
"2","""testapp01.tilaa.2gcloud.nl"""
"2","""winpc035.winitsoftware.local"""
"2","""exchange.logicsoftware.co.uk"""
"2","""ValFac MC SecureCode Acquirer Sub CA"""
"2","""pipkins.mbsbooks.com"""
"2","""SC CONTACT CA"""
"2","""HS-Ulm-CA"""
"2","""donor.org.ua"""
"2","""inventaire.valinformatique.net"""
"2","""Equifax"""
"2","""EuropeanSSL High Assurance Server CA 2"""
"2","""DigiCert High Assurance EV CA-1"""
"2","""zedkon.infotech.de"""
"2","""VMware Installer"""
"2","""Parsons Brinckerhoff Production Issuing CA 1 R1"""
"2","""wola.krakow.pl"""
"2","""Espirito Santo Centrais Eletricas SA"""
"2","""Universitaet Duisburg-Essen CA -G01"""
"2","""Musroc-2K8CA"""
"2","""clustered.web.hosting"""
"2","""Digidentity Services CA - G2"""
"2","""Infrastructure"""
"2","""countersolutions-DC4-CA"""
"2","""Dixell"""
"2","""tserkva-ab.rapidanuncios.es"""
"2","""guaporetemp"""
"2","""Greco IT Authority Certificate"""
"2","""thawte EV SSL CA - G2"""
"2","""vps94978.vps.ovh.ca"""
"2","""JustIntel32"""
"2","""Freie Universitaet Berlin - FU-CA - G01"""
"2","""PETRONAS.COM.MY"""
"2","""Unknown"""
"2","""state-institutions"""
"2","""terceirapessoa.pt"""
"2","""InfrastructureCA Gebhardt"""
"2","""51netu.iloveclick.com.tw"""
"2","""Zertifizierungsstelle der TUM"""
"2","""CrossTrust DV CA3"""
"2","""Tunisian Server Certificate Authority - TunServerCA2"""
"2","""jeslin.se"""
"2","""Let's Encrypt Authority X1"""
"2","""AC Departamento Informatica y Automatica"""
"2","""webapp.intergroup.it"""
"2","""I.CA SSL CA/RSA 07/2015"""
"2","""Department of Environment Subordinate CA 01"""
"2","""SIP Product Certificate Authority"""
"2","""CA Klinikgruppe Dr. Guth"""
"2","""Uni-HD2-CA"""
"2","""Universitaet Paderborn CA - G01"""
"2","""VRK CA for Service Providers - G3"""
"2","""test-self-signed.spaceweb.ru"""
"2","""TV1.DE - New Television Solutions"""
"2","""Application CA G3 Sub1"""
"2","""Intel External Issuing CA 6A"""
"2","""usg50_107BEF2E8E3A"""
"2","""ip-192-168-1-130"""
"2","""Ruhr-Universitaet Bochum CA"""
"2","""soffico GmbH - Root CA"""
"2","""VeriSign Class 3 Extended Validation SSL SGC CA"""
"2","""DyLogic - Mirial Carrier Server"""
"2","""hammam-retreat.wsiworks.com"""
"2","""WIN-93IC1KI4HCJ"""
"2","""MarketWare - Solu\u00e7\u00f5es para Mercados Digitais, Lda. RSA DV CA"""
"2","""d38.globalfrag.com"""
"2","""IdenTrust ECA 4"""
"2","""do.benoni.no"""
"2","""Centrum Certyfikacji Hadoop Asseco"""
"2","""Synology Inc. CA"""
"2","""Justica"""
"2","""THIS IS A SELF-SIGNED TEST CERTIFICATE"""
"2","""WEDOS Certification Authority"""
"2","""FAU-CA"""
"2","""FALKE Central CA1"""
"2","""Network Solutions Certificate Authority"""
"2","""GlobalSign Organization Validation CA - G2"""
"2","""Symantec Class 3 ECC 256 bit Extended Validation CA"""
"2","""Santander Issuer ESBOA1 CA"""
"2","""ftp.Serv-U.com"""
"2","""Aetna Inc. Secure CA2"""
"2","""Stast"""
"2","""i-Notary TrustPath Validated Domain CA"""
"2","""fake"""
"2","""ip-172-31-47-141.us-west-2.compute.internal"""
"2","""Management Gateway (RA)"""
"2","""RoS Issuing CA"""
"2","""Autoridade Certificadora do SERPRO Final v4"""
"2","""MPG CA"""
"2","""ORC ECA 6"""
"2","""placerosemere.com"""
"2","""PORAR WEB APPLICATION CO. LTD."""
"2","""Vigor Router"""
"2","""AH Sub CA Medium"""
"2","""cp.thu.training.cb.nsc.no"""
"2","""MAYAMTL"""
