,items,support,count,,,,
17542,"{supportsRc4=false,heartbleed=false}",0.822710513,60693,,,,
17708,"{SSL2Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.822073415,60646,,
17540,"{SSL2Enabled=0,supportsRc4=false,heartbleed=false}",0.821720978,60620,,,,
17707,"{SSL2Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.821585425,60610,,
17697,"{SSL3Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.81936236,60446,,,
17760,"{SSL3Enabled=0,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.81936236,60446,,,
17693,"{SSL3Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.81890148,60412,,,
17756,"{SSL3Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.81890148,60412,,,
17692,"{SSL2Enabled=0,SSL3Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.818589709,60389,,,
17755,"{SSL2Enabled=0,SSL3Enabled=0,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.818589709,60389,,,
17689,"{SSL3Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.818454156,60379,,,
17752,"{SSL3Enabled=0,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.818454156,60379,,,
17691,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.818142385,60356,,,
17754,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.818142385,60356,,,
17685,"{SSL3Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.818006832,60346,,,
17748,"{SSL3Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.818006832,60346,,,
17684,"{SSL2Enabled=0,SSL3Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.817708616,60324,,,
17747,"{SSL2Enabled=0,SSL3Enabled=0,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.817708616,60324,,,
17683,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.817261292,60291,,,
17746,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.817261292,60291,,,
17666,"{SSL2Enabled=0,hpkpPolicy.status=\absent\""","keySize=2048}""",0.814536681,60090,,,
17659,"{SSL2Enabled=0,hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""}""",0.814523125,60089,,
17665,"{SSL2Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","keySize=2048}""",0.813750474,60032,,,
17658,"{SSL2Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""}""",0.813736919,60031,,
17682,"{SSL3Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.813370927,60004,,
17745,"{SSL3Enabled=0,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.813370927,60004,,
17678,"{SSL3Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.812923602,59971,,
17741,"{SSL3Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.812923602,59971,,
17677,"{SSL2Enabled=0,SSL3Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.812625386,59949,,
17740,"{SSL2Enabled=0,SSL3Enabled=0,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.812625386,59949,,
17676,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.812178062,59916,,
17739,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.812178062,59916,,
17644,"{SSL2Enabled=0,hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.807772597,59591,
