"","rules","support","confidence","lift","count"
"479","{rating=A-,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.0752182399826492,1,1.09131791890413,5549
"480","{rating=A-,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.0752182399826492,1,1.02229674486925,5549
"632","{rating=A-,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0752182399826492,1,1.02229674486925,5549
"633","{rating=A-,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.0752182399826492,1,1.09131791890413,5549
"37","{rating=C,TLS12Enabled=1} => {SSL2Enabled=0}",0.0564306240850187,1,1.02229674486925,4163
"34","{rating=C,TLS11Enabled=1} => {SSL2Enabled=0}",0.0547497695602668,1,1.02229674486925,4039
"188","{rating=C,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.053624681450957,1,1.02229674486925,3956
"190","{rating=C,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0535297945019791,1,1.02229674486925,3949
"186","{rating=C,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.0530553597570894,1,1.02229674486925,3914
"443","{rating=C,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0520793797104593,1,1.02229674486925,3842
"69","{rating=A,TLS1Enabled=0} => {SSL3Enabled=0}",0.0520116033183322,1,1.10498329913275,3837
"70","{rating=A,TLS1Enabled=0} => {SSL2Enabled=0}",0.0520116033183322,1,1.02229674486925,3837
"280","{rating=A,SSL3Enabled=0,TLS1Enabled=0} => {SSL2Enabled=0}",0.0520116033183322,1,1.02229674486925,3837
"281","{rating=A,SSL2Enabled=0,TLS1Enabled=0} => {SSL3Enabled=0}",0.0520116033183322,1,1.10498329913275,3837
"1","{rating=T} => {SSL2Enabled=0}",0.0509407363227241,1,1.02229674486925,3758
"279","{rating=A,TLS1Enabled=0,TLS12Enabled=1} => {SSL3Enabled=0}",0.046182833595402,1,1.10498329913275,3407
"282","{rating=A,TLS1Enabled=0,TLS12Enabled=1} => {SSL2Enabled=0}",0.046182833595402,1,1.02229674486925,3407
"542","{rating=A,SSL3Enabled=0,TLS1Enabled=0,TLS12Enabled=1} => {SSL2Enabled=0}",0.046182833595402,1,1.02229674486925,3407
"543","{rating=A,SSL2Enabled=0,TLS1Enabled=0,TLS12Enabled=1} => {SSL3Enabled=0}",0.046182833595402,1,1.10498329913275,3407
"18","{rating=T,TLS12Enabled=1} => {SSL2Enabled=0}",0.0460879466464241,1,1.02229674486925,3400
"31","{rating=C,SSL3Enabled=1} => {SSL2Enabled=0}",0.0448273057528602,1,1.02229674486925,3307
"17","{rating=T,SSL3Enabled=0} => {SSL2Enabled=0}",0.0448137504744347,1,1.02229674486925,3306
"16","{rating=T,TLS1Enabled=1} => {SSL2Enabled=0}",0.0445019790706501,1,1.02229674486925,3283
"177","{rating=C,SSL3Enabled=1,TLS1Enabled=1} => {SSL2Enabled=0}",0.0444477579569484,1,1.02229674486925,3279
"15","{rating=T,TLS11Enabled=1} => {SSL2Enabled=0}",0.0428075692674728,1,1.02229674486925,3158
"119","{rating=T,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.042590684812666,1,1.02229674486925,3142
"122","{rating=T,SSL3Enabled=0,TLS12Enabled=1} => {SSL2Enabled=0}",0.0411673805779971,1,1.02229674486925,3037
"121","{rating=T,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.04109960418587,1,1.02229674486925,3032
"117","{rating=T,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.0407336116683837,1,1.02229674486925,3005
"354","{rating=T,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.040516727213577,1,1.02229674486925,2989
"36","{rating=C,SSL3Enabled=0} => {SSL2Enabled=0}",0.0388765385241013,1,1.02229674486925,2868
"178","{rating=C,SSL3Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0385783223987421,1,1.02229674486925,2846
"120","{rating=T,SSL3Enabled=0,TLS1Enabled=1} => {SSL2Enabled=0}",0.038415659057637,1,1.02229674486925,2834
"433","{rating=C,SSL3Enabled=1,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0381987746028303,1,1.02229674486925,2818
"118","{rating=T,SSL3Enabled=0,TLS11Enabled=1} => {SSL2Enabled=0}",0.0379954454264491,1,1.02229674486925,2803
"176","{rating=C,SSL3Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.0379547795911728,1,1.02229674486925,2800
"355","{rating=T,SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0378463373637695,1,1.02229674486925,2792
"431","{rating=C,SSL3Enabled=1,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.0377650056932169,1,1.02229674486925,2786
"432","{rating=C,SSL3Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0377107845795153,1,1.02229674486925,2782
"614","{rating=C,SSL3Enabled=1,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0375210106815594,1,1.02229674486925,2768
